,대분류,중분류,소분류,과정명,학습시간,수료여부
95,정규강좌,생활/인문교양,건강,두잉 요가 : On the Mat [중급편],3,학습중
96,정규강좌,시민교육,ESG,ESG X Tech : DX시대의 ESG 경영 전략,3,학습중
97,정규강좌,시민교육,저작권,시니어 창업자를 위한 저작권 노하우,3,학습중
98,정규강좌,시민교육,저작권,표절예방과 저작권 기초 강좌,3,학습중
99,정규강좌,시민교육,저작권,[중등학부모] 저작권! 이제 기본입니다,3,학습중
100,정규강좌,시민교육,저작권,[초등고학년/중등] 저작권과 친구 될래요,3,학습중
101,정규강좌,시민교육,저작권,[초등저학년] 저작권과 친구 될래요,3,학습중
102,정규강좌,시민교육,저작권,[초등학부모] 저작권! 이제 기본입니다,3,학습중
103,정규강좌,시민교육,저작권,공공기관 소프트웨어 저작권&자산관리 이해,3,학습중
104,정규강좌,시민교육,저작권,청소년 예비 창업자를 위한 저작권 노하우,3,학습중
105,정규강좌,시민교육,저작권,어린이집 보육교사 과정,3,학습중
106,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.1 [초급],3,학습중
107,정규강좌,외국어,영어,스낵영어네이티브: The Travel 3.1 [초중급],3,학습중
108,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.2 [초급],3,학습중
109,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.5 [초중급],3,학습중
110,정규강좌,외국어,영어,스낵영어네이티브: The Travel 3.2 [초중급],3,학습중
111,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.3 [초급],3,학습중
112,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.4 [초급],3,학습중
113,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.3 [초중급],3,학습중
114,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.1 [초중급],3,학습중
115,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.2 [초중급],3,학습중
116,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.4 [초중급],3,학습중
117,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.6 [초중급],3,학습중
118,정규강좌,다문화,-,Magic Hangul Basic,3,학습중
119,테마강좌,주민자치강좌,-,합리적 의사결정을 돕는 퍼실리테이션,3,학습중
120,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 민법 및 민사특별법-족집게특강,4,120
121,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 중개사법령 및 중개실무-족집게특강,4,121
122,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-1차] 민법 및 민사특별법-족집게특강,4,학습중
123,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공시법-실력향상 문제풀이,4,123
124,정규강좌,정보화/IT,인공지능,[IT어빌리티] 인공지능과 인간의 대화,4,학습중
125,정규강좌,정보화/IT,메타버스,[디지털융합] 가상세계로 떠나는 메타버스 튜토리얼,4,학습중
126,정규강좌,정보화/IT,디지털 트랜스포메이션,"[디지털융합] 새로운 디지털 혁명, 블록체인",4,학습중
127,정규강좌,정보화/IT,빅데이터,"빅데이터, 사람을 읽다",4,학습중
128,정규강좌,정보화/IT,SNS활용,GA(구글 애널리틱스)로 보는 마케팅 성과분석,4,학습중
129,정규강좌,정보화/IT,디지털 트랜스포메이션,"[디지털융합] 제조혁신의 미래, 스마트팩토리",4,학습중
130,정규강좌,정보화/IT,빅데이터,"데이터로 고객을 읽는 마케팅 기법, 그로스해킹",4,학습중
131,정규강좌,정보화/IT,디지털 트랜스포메이션,[Tech briefing] 빅테크의 모든 것,4,학습중
132,정규강좌,취업,인생이모작,핵심만 콕! 재취업 준비와 성공전략,4,학습중
133,정규강좌,생활/인문교양,인문,미술의 마음,4,학습중
134,정규강좌,생활/인문교양,취미,여행을 이야기하다,4,학습중
135,정규강좌,생활/인문교양,인문,"미술, 창조사회를 말하다",4,학습중
136,정규강좌,생활/인문교양,취미,인문학과 함께하는 비즈니스 트립,4,학습중
137,정규강좌,외국어,영어,스낵영어네이티브: The Travel 5.1 [중고급],4,학습중
138,정규강좌,외국어,영어,스낵영어네이티브: The Travel 4.2 [중급],4,학습중
139,정규강좌,외국어,영어,스낵영어네이티브: The Travel 5.2 [중고급],4,학습중
140,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.5 [중고급],4,학습중
141,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.6 [중고급],4,학습중
142,정규강좌,외국어,일본어,일본 현지 성우와 함께 배우는 마법의 360문장 (1),4,학습중
143,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.1 [중급],4,학습중
144,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.2 [중급],4,학습중
145,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.3 [중급],4,학습중
146,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.4 [중급],4,학습중
147,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.5 [중급],4,학습중
148,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.6 [중급],4,학습중
149,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.2 [중고급],4,학습중
150,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.3 [중고급],4,학습중
151,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.4 [중고급],4,학습중
152,정규강좌,외국어,영어,스낵영어네이티브: The Travel 4.1 [중급],4,학습중
153,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.1 [중고급],4,학습중
154,정규강좌,외국어,일본어,일본 현지 성우와 함께 배우는 마법의 360문장 (2),4,학습중
155,정규강좌,외국어,일본어,일본 현지 성우와 함께 배우는 마법의 360문장 (3),4,학습중
156,정규강좌,외국어,일본어,JLPT 한 권으로 끝내기 N2 - 청해,4,학습중
157,정규강좌,외국어,영어,The 빠른 Toeic Speaking 실전 모의고사,4,학습중
158,테마강좌,법정의무교육,필수교육,"[2022 법정필수교육] 4대 폭력 예방 (성희롱 예방, 성폭력 예방, 성매매 예방, 가정폭력 예방)",4,학습중
159,테마강좌,법정의무교육,안전보건교육,모두의 안전을 위한 중대재해처벌법,4,학습중
160,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 부동산학개론 핵심요약,5,학습중
161,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-1차] 민법 및 민사특별법-심화이론,5,학습중
162,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 민법 및 민사특별법-핵심요약,5,학습중
163,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 부동산학개론-족집게특강,5,163
164,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-실전 문제풀이,5,164
165,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-1차] 부동산학개론 심화이론,5,학습중
166,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-1차] 부동산학개론-족집게특강,5,학습중
167,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 중개사법령 및 중개실무-핵심요약,5,학습중
168,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공시법-실전 문제풀이,5,168
169,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-기출 문제풀이,5,169
170,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공시법-기출 문제풀이,5,학습중
171,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산세법-기출 문제풀이,5,학습중
172,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공법-핵심요약,5,학습중
173,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공법-족집게특강,5,173
174,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-실력향상 문제풀이,5,174
175,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-2차] 부동산공법-족집게특강,5,학습중
176,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-2차] 중개사법령 및 실무-족집게특강,5,학습중
177,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공시법-실력향상 문제풀이,5,학습중
178,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공시법-실전 문제풀이,5,학습중
179,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산세법-실력향상 문제풀이,5,학습중
180,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산세법-실전 문제풀이,5,학습중
181,정규강좌,정보화/IT,디지털 트랜스포메이션,[디지털융합] 기업의 미래를 바꾸는 디지털 혁신 기술,5,학습중
182,정규강좌,정보화/IT,디지털 트랜스포메이션,"[스마트팩토리] 인더스트리 4.0시대, 혁신을 위한 스마트 공장 DNA",5,학습중
183,정규강좌,정보화/IT,디지털 트랜스포메이션,"새로운 혁신의 시작, 디지털 트랜스포메이션",5,학습중
184,정규강좌,정보화/IT,디지털 트랜스포메이션,[4차산업혁명 테크놀로지] 기술이 미래를 바꾸는 순간,5,학습중
185,정규강좌,정보화/IT,인공지능,인공지능이 바꾸는 미래 비즈니스,5,학습중
186,정규강좌,취업,직업기초능력,"이소은의 퍼블릭 스피킹, 말하기를 말하다",5,학습중
187,정규강좌,취업,직무적성검사,최고의 리더를 위한 리더십 어드바이스,5,학습중
188,정규강좌,취업,직업기초능력,"실례합니다만, 비즈니스 매너는 지켜주시겠어요?",5,학습중
189,정규강좌,생활/인문교양,인문,[리더십 마스터] 오늘부터 시작하라: 생각을 바꾸는 인문학,5,학습중
190,정규강좌,생활/인문교양,취미,술을 알면 세상이 즐겁다,5,학습중
191,정규강좌,생활/인문교양,인문,"품격있는 삶을 위한 예술 강의, 미학 수업",5,학습중
192,정규강좌,생활/인문교양,인문,도시와 공간을 잇는 인문 기행,5,학습중
193,정규강좌,생활/인문교양,인문,세계의 미술관 산책,5,학습중
194,정규강좌,생활/인문교양,취미,인사이트를 찾아 떠나는 비즈니스 트립,5,학습중
195,정규강좌,다문화,-,단박에 한국사 - 근대편,5,학습중
196,테마강좌,법정의무교육,필수교육,[2022 법정필수교육] 4대 폭력 예방+개인정보보호,5,학습중
197,테마강좌,법정의무교육,필수교육,[2022 법정필수교육] 4대 폭력 예방+직장 내 장애인 인식개선,5,학습중
198,정규강좌,자격증,워드프로세스,[HD]워드프로세서 실기,6,학습중
199,정규강좌,자격증,정보처리기사,[핵심공략]정보처리기사_필기_정보시스템구축관리,6,학습중
200,정규강좌,자격증,TAT(세무실무),TAT(세무실무) 2급,6,학습중
201,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공법-기출 문제풀이,6,201
202,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공시법-기출 문제풀이,6,202
203,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공법-실력향상 문제풀이,6,203
204,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공법-실전 문제풀이,6,204
205,정규강좌,자격증,TAT(세무실무),TAT(세무실무) 1급,6,학습중
206,정규강좌,정보화/IT,메타버스,"[디지털융합] 비즈니스 혁명, 메타버스에 탑승하라",6,학습중
207,정규강좌,취업,직업기초능력,조영탁의 직장인 자기계발 특강,6,학습중
208,정규강좌,생활/인문교양,인문,"똑똑한 선택을 이끄는 힘, 행동경제학",6,학습중
209,정규강좌,생활/인문교양,인문,[4대 비극] 시공을 초월한 인간의 보편적 본성에 대한 이야기,6,학습중
210,정규강좌,시민교육,저작권,4차산업 종사자를 위한 저작권 노하우,6,학습중
211,정규강좌,시민교육,저작권,방송 종사자를 위한 저작권 노하우,6,학습중
212,정규강좌,시민교육,저작권,성공적인 창업을 위한 저작권 노하우,6,학습중
213,정규강좌,시민교육,저작권,소프트웨어 종사자를 위한 저작권 노하우,6,학습중
214,정규강좌,시민교육,저작권,게임 종사자를 위한 저작권 노하우,6,학습중
215,정규강좌,시민교육,저작권,공공기관 근무자를 위한 저작권 기초와 실무,6,학습중
216,정규강좌,시민교육,저작권,만화(웹툰)창작자를 위한 저작권 노하우,6,학습중
217,정규강좌,시민교육,저작권,모바일 콘텐츠 산업 종사자를 위한 저작권 노하우,6,학습중
218,정규강좌,시민교육,저작권,음악종사자를 위한 저작권 노하우,6,학습중
219,정규강좌,시민교육,저작권,인터넷 종사자를 위한 저작권 노하우,6,학습중
220,정규강좌,시민교육,저작권,저작권 개요,6,학습중
221,정규강좌,시민교육,저작권,출판 종사자를 위한 저작권 노하우,6,학습중
222,정규강좌,시민교육,저작권,캐릭터 디자인 산업종사자를 위한 저작권 노하우,6,학습중
223,정규강좌,외국어,중국어,바로 쓰는 비즈니스 중국어,6,학습중
224,정규강좌,외국어,일본어,패턴으로 배우는 일본어 문법,6,학습중
225,정규강좌,외국어,기타 외국어,관광통역안내사 - 인도네시아어,6,학습중
226,정규강좌,외국어,기타 외국어,바로 쓰는 비즈니스 베트남어 초급,6,학습중
227,정규강좌,외국어,기타 외국어,챠오 이탈리아어 첫걸음,6,학습중
228,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_기타사업),6,학습중
229,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_서비스업),6,학습중
230,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_건설업),6,학습중
231,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_보건업),6,학습중
232,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_기타사업),6,학습중
233,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅱ(현장근로자_기타사업),6,233
234,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅳ(현장근로자_건설업),6,234
235,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅳ(현장근로자_서비스업),6,235
236,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_제조업),6,학습중
237,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅱ(현장근로자_보건업),6,237
238,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅳ(현장근로자_기타사업),6,238
239,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅳ(현장근로자_제조업),6,239
240,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅱ(현장근로자_제조업),6,240
241,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅲ(현장근로자_건설업),6,241
242,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅲ(현장근로자_서비스업),6,242
243,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅲ(현장근로자_제조업),6,243
244,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅰ(현장근로자_유통업),6,학습중
245,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅱ(현장근로자_건설업),6,245
246,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅱ(현장근로자_서비스업),6,246
247,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅱ(현장근로자_유통업),6,247
248,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅲ(현장근로자_기타사업),6,248
249,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅲ(현장근로자_보건업),6,249
250,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅲ(현장근로자_유통업),6,250
251,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅳ(현장근로자_보건업),6,251
252,테마강좌,법정의무교육,안전보건교육,안전보건교육Ⅳ(현장근로자_유통업),6,252
253,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_제조업),6,학습중
254,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_제조업),6,학습중
255,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_제조업),6,학습중
256,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_건설업),6,학습중
257,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_보건업),6,학습중
258,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_서비스업),6,학습중
259,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅱ(현장근로자_유통업),6,학습중
260,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_건설업),6,학습중
261,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_기타사업),6,학습중
262,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_보건업),6,학습중
263,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_서비스업),6,학습중
264,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅲ(현장근로자_유통업),6,학습중
265,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_건설업),6,학습중
266,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_기타사업),6,학습중
267,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_보건업),6,학습중
268,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_서비스업),6,학습중
269,테마강좌,법정의무교육,안전보건교육,2023 안전보건교육Ⅳ(현장근로자_유통업),6,학습중
270,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 민법 및 민사특별법-실전 문제풀이,7,270
271,정규강좌,자격증,워드프로세스,[HD]워드프로세서 필기,7,학습중
272,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 민법 및 민사특별법-기출 문제풀이,7,272
273,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 부동산학개론-실력향상 문제풀이,7,273
274,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-1차] 민법 및 민사특별법-실력향상 문제풀이,7,학습중
275,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-1차] 민법 및 민사특별법-실전 문제풀이,7,학습중
276,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 중개사법령 및 중개실무-실력향상 문제풀이,7,학습중
277,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 민법 및 민사특별법-실력향상 문제풀이,7,277
278,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 부동산학개론-실전 문제풀이,7,278
279,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공법-기출 문제풀이,7,학습중
