,type,title,class,time (h),ing,note,,
167,정규강좌,"품격있는 삶을 위한 예술 강의, 미학 수업",인문,5,DONE,,,
174,정규강좌,최고의 리더를 위한 리더십 어드바이스,직무적성검사,5,DONE,스킵가능,,
193,정규강좌,[HD]쉽게 배우는 인디자인 CC 2021 활용1,웹디자인,5,DONE,04월 17일,,
229,정규강좌,이문화 특강 - 인도네시아,인식개선,5,DONE,,,
238,정규강좌,"마법처럼 풀리는, 중국어 성조와 발음 마스터",중국어일반회화,5,DONE,스킵가능,,
243,정규강좌,한 번에 합격! 실전모의고사 JLPT N3,일본어시험대비,5,DONE,,,
274,정규강좌,일잘러의 진짜 파워포인트,파워포인트,5,DONE,,,
279,정규강좌,중국어로 배우는 한국어 - 중급,한국어,5,DONE,,,
327,테마강좌,[2024 법정필수교육] 성희롱 예방+개인정보보호+직장 내 장애인 인식개선+직장 내 괴롭힘 예방+퇴직연금,5대 법정의무교육,5,DONE,,,
335,테마강좌,[2024 법정필수교육] 4대 폭력 예방+개인정보보호,5대 법정의무교육,5,DONE,,,
336,테마강좌,[2024 법정필수교육] 4대 폭력 예방+직장 내 장애인 인식개선,5대 법정의무교육,5,DONE,,,
64,정규강좌,"[디지털융합] 비즈니스 혁명, 메타버스에 탑승하라",메타버스,6,DONE,,,
115,정규강좌,[스낵영어비즈톡] 비즈니스를 만드는 15가지 Small Talk 3탄. Meeting,영어비즈니스회화,6,DONE,4월 18일,,
120,정규강좌,[스낵영어비즈톡] 비즈니스를 만드는 15가지 Small Talk 2탄. Telephoning,영어비즈니스회화,6,DONE,,,
123,정규강좌,[스낵영어비즈톡] 비즈니스를 만드는 15가지 Small Talk 1탄. Socializing,영어비즈니스회화,6,DONE,,,
187,정규강좌,[HD]Dreamweaver CC 2021 제대로 배우기 - 기초2,영상편집,6,DONE,,,
188,정규강좌,[HD]Dreamweaver CC 2021 제대로 배우기 - 기초1,영상편집,6,DONE,,,
194,정규강좌,[HD]쉽게 배우는 인디자인 CC 2021 활용2,웹디자인,6,DONE,04월 19일,,
200,정규강좌,"마법처럼 풀리는, 칸칸 중국 생활 독해 마스터",중국어일반회화,6,DONE,스킵가능,,
211,정규강좌,두근두근 말레이어 Step2,기타 외국어,6,DONE,,,
221,정규강좌,두근두근 말레이어 Step1,기타 외국어,6,DONE,,,
235,정규강좌,패턴으로 배우는 일본어 문법,일본어,6,DONE,,,
236,정규강좌,바로 쓰는 비즈니스 중국어,중국어,6,DONE,,,
240,정규강좌,"마법처럼 풀리는, 빵빵 중국어 어휘와 문장 초급편",중국어일반회화,6,DONE,스킵가능,,
245,정규강좌,한 번에 합격! 실전모의고사 JLPT N2,일본어시험대비,6,DONE,,,
258,정규강좌,한 번에 합격! 실전모의고사 JLPT N1,일본어시험대비,6,DONE,,,
290,정규강좌,한 번에 끝내는 중국어 첫걸음,중국어일반회화,6,DONE,,,
41,정규강좌,요즘 마케터의 ChatGPT 활용법,트렌드,7,DONE,,,
133,정규강좌,[오늘부터 정시퇴근] 파워포인트 실무 테크닉 - 보고서 디자인편,파워포인트,7,DONE,,,
134,정규강좌,[오늘부터 정시퇴근] 엑셀 실무 테크닉 - 일잘러의 보고서 작성편,엑셀/워드/한글,7,DONE,,,
215,정규강좌,현장감 있는 바리바리 비즈니스 일본어 고급,일본어비즈니스회화,7,DONE,스킵가능,,
218,정규강좌,현장감 있는 바리바리 비즈니스 일본어 중급,일본어비즈니스회화,7,DONE,스킵가능,,
237,정규강좌,The 빠른 OPIc IM,영어시험대비,7,DONE,,,
291,정규강좌,현장감 있는 바리바리 비즈니스 일본어 기초 [교재포함],일본어비즈니스회화,7,DONE,스킵가능,,
3,정규강좌,"마케팅 커리어의 시작, 실무 마케팅 Lv.1",SNS활용,8,DONE,,,
5,정규강좌,[SSS급 루키] 데이터로 묻고 데이터로 답하라,직업기초능력,8,DONE,,,
6,정규강좌,힙한 브랜드는 왜 채널 마케팅에 진심일까?,SNS활용,8,DONE,,,
8,정규강좌,"온리원이 되는 생존 브랜딩, 브랜드 전략",SNS활용,8,DONE,,,773
13,정규강좌,브랜드 덕후를 만드는 브랜드 커뮤니케이션,SNS활용,8,DONE,,,2654
15,정규강좌,스낵영어_MBTI로 보는 현실 공감 100배 영어,영어일반회화,8,DONE,04월 22일,,
16,정규강좌,[레전드 스킬] 데이터 시각화가 이렇게 쉽다고_Power BI,직업기초능력,8,DONE,,,
19,정규강좌,남다른 성과로 증명하는 퍼포먼스마케터의 전략,SNS활용,8,DONE,,,
20,정규강좌,"데이터 마케팅의 시대, 광고 최적화를 위한 Google Ads",SNS활용,8,DONE,,,
21,정규강좌,스낵영어_생각이 180도 바뀌는 콩글리쉬 탈출 영어!,영어일반회화,8,DONE,,,
22,정규강좌,좋아요를 터뜨리는 콘텐츠마케팅 데이터 분석,SNS활용,8,DONE,,,
23,정규강좌,"데이터로 말하는 마케터, 데이터 드리븐 마케팅",SNS활용,8,DONE,,,
24,정규강좌,SKIP없는 콘텐츠마케터의 트렌디한 전략,SNS활용,8,DONE,,,
25,정규강좌,"데이터 마케터의 필수 치트키, 구글 애널리틱스4",SNS활용,8,DONE,,,
27,정규강좌,스낵영어_입에 붙는 미드 속 찐영어,영어일반회화,8,DONE,,,
28,정규강좌,"퍼포먼스마케터, 그로스마케팅으로 떨어지는 효율 올리는 법",SNS활용,8,DONE,,,
38,정규강좌,ChatGPT만큼 쉽다! 코딩없이 인공지능 시작하기,트렌드,8,DONE,,,
49,정규강좌,광고인줄 알면서도 저장하는 AI활용 콘텐츠마케팅 디자인,SNS활용,8,DONE,,,
51,정규강좌,[쉬플리 세일즈] 빈틈없는 제안서 작성법,직업기초능력,8,DONE,,,
52,정규강좌,"[쉬플리 세일즈] 당신을 각인 시켜라, Impressive 제안 프레젠테이션",직업기초능력,8,DONE,,,
56,정규강좌,[쉬플리 세일즈] 수주의 핵심은 전략이다. Powerful한 제안 전략,직업기초능력,8,DONE,,,
95,정규강좌,[SSS급 루키] 야근은 싫고 성과는 내고 싶을 때 필요한 소프트스킬.zip,직업기초능력,8,DONE,,,
105,정규강좌,[SSS급 루키] 탑티어 기획자의 생각법,직업기초능력,8,DONE,,,
108,정규강좌,두근두근 프랑스어 중급,기타 외국어,8,DONE,,,
111,정규강좌,[류재언의 협상 마스터] 차이를 결정짓는 협상의 디테일,직업기초능력,8,DONE,,,
112,정규강좌,[류재언의 협상 마스터] 내 편으로 만드는 협상의 심리학,직업기초능력,8,DONE,,,
129,정규강좌,[스낵영어] 한번 배워 평생 쓰는 화상회의 필수영어.ZIP,영어비즈니스회화,8,DONE,,,
131,정규강좌,[디지털융합] 디지털 대전환을 주도하는 플랫폼과 사물인터넷,디지털 트랜스포메이션,8,DONE,,,
182,정규강좌,[업스킬] 초보자도 따라하기 쉬운 영상 편집 올인원(프리미어 프로＆애프터이펙트),영상편집,8,DONE,스킵가능,,
185,정규강좌,[HD]Dreamweaver CC 2021 제대로 배우기 - 활용1,영상편집,8,DONE,,,
192,정규강좌,[HD]Dreamweaver CC 2021 제대로 배우기 - 활용2,영상편집,8,DONE,,,
222,정규강좌,"다시 출근합니다, 제2의 인생 - 꿈꾸는 내일(창업편)",창업,8,DONE,스킵가능,,
276,정규강좌,패턴의 법칙 인도네시아어 첫걸음 Part.1[교재포함],기타 외국어,8,DONE,,,
283,정규강좌,함께해서 행복한 자녀교육법,자녀교육,8,DONE,04월 23일,,
287,정규강좌,"새로운 기회와 도전, 지금 당장 아세안 공부하라-태국",인식개선,8,DONE,스킵가능,,
347,테마강좌,2023 안전보건교육(작업내용 변경 시_건설업),필수교육,8,DONE,,,
348,테마강좌,2023 안전보건교육(작업내용 변경 시_제조업),필수교육,8,DONE,,,
349,테마강좌,2023 안전보건교육(작업내용 변경 시_유통업),필수교육,8,DONE,,,
350,테마강좌,2023 안전보건교육(작업내용 변경 시_보건업),필수교육,8,DONE,,,
351,테마강좌,2023 안전보건교육(작업내용 변경 시_서비스업),필수교육,8,DONE,,,
352,테마강좌,2023 안전보건교육(작업내용 변경 시_기타사업),필수교육,8,DONE,,,
353,테마강좌,2023 안전보건교육(채용 시_건설업),필수교육,8,DONE,,,
354,테마강좌,2023 안전보건교육(채용 시_제조업),필수교육,8,DONE,04월 24일,,
355,테마강좌,2023 안전보건교육(채용 시_유통업),필수교육,8,DONE,,,
357,테마강좌,2023 안전보건교육(채용 시_보건업),필수교육,8,DONE,,,
358,테마강좌,2023 안전보건교육(채용 시_서비스업),필수교육,8,DONE,,,
359,테마강좌,2023 안전보건교육(채용 시_기타사업),필수교육,8,DONE,,,
360,테마강좌,[행복의 공식] 자금세탁방지교육,인권교육,8,DONE,,,
12,정규강좌,"[SSS급 인재] 실리콘밸리식 협업 스킬, 애자일 커뮤니케이션",직업기초능력,9,DONE,,,
55,정규강좌,[버츄얼 셀링] 만나지 않았지만 계약합니다,직업기초능력,9,DONE,,,
124,정규강좌,"[세일즈 뉴노멀] 어쩌다 고성과자, 세일즈마케팅을 통한 신시장 개척",직무적성검사,9,DONE,,,
126,정규강좌,[오늘부터 정시퇴근] 엑셀 실무 테크닉 - 빅데이터 분석&시각화편,엑셀/워드/한글,9,DONE,,,
128,정규강좌,[오늘부터 정시퇴근] 파워포인트 실무 테크닉 - 슬라이드 디자인편,파워포인트,9,DONE,,,
160,정규강좌,[디지털융합] [AI ＆ Bigdata] AI가 알려주는 비즈니스 전략,빅데이터,9,DONE,,,
172,정규강좌,[디지털융합] [DT 응급키트] 디지털 비즈니스 혁신전략,디지털 트랜스포메이션,9,DONE,,,
180,정규강좌,[디지털융합] 데이터로 말하는 앱마케팅 성과분석,SNS활용,9,DONE,,,
217,정규강좌,[HD]쉽게 배우는 인디자인 CC 2021 기초,웹디자인,9,DONE,,,
260,정규강좌,[재경관리사] 세무회계,재경관리사,9,DONE,,,
262,정규강좌,[HD]Photoshop 제대로 배우기 - 기초,웹디자인,9,DONE,,,
275,정규강좌,패턴의 법칙 인도네시아어 첫걸음 Part.2,기타 외국어,9,ing-mac,,,
14,정규강좌,ChatGPT가 바꿔놓은 9가지 기획의 기술,트렌드,10,DONE,,,
17,정규강좌,클릭을 부르는 검색 광고 마케팅,SNS활용,10,DONE,,,
31,정규강좌,나의 첫 웹크롤링 ＆ 텍스트마이닝 with 파이썬,프로그래밍,10,ing-mac,,,
46,정규강좌,DATA 첫걸음 : 엑셀로 뽀개는 통계 기초,직업기초능력,10,DONE,,,
113,정규강좌,The 바른 일본어 - 중급,일본어일반회화,10,ing-pc,,,
169,정규강좌,"[소확성] 일상을 화보로, 스마트폰 사진 클래스",취미,10,DONE,스킵가능,,
203,정규강좌,"작품 속 예술가들의 삶과 이야기-자유를 향한 여정, 근대미술",취미,10,DONE,스킵가능,,
204,정규강좌,작품 속 예술가들의 삶과 이야기-이것도 예술이 될까? 현대미술,취미,10,DONE,스킵가능,,
224,정규강좌,"다시 출근합니다, 제2의 인생 - 행복한 내일(창업편)",창업,10,DONE,스킵가능,,
242,정규강좌,The 빠른 OPIc IH,영어시험대비,10,ing-pc,,,
273,정규강좌,모두가 함께 잘 사는 주거서비스 인사이트,인문,10,DONE,스킵가능,,
